id,cena,tip,po_izn,lokacija,grad,opstina,naselje,ulica,povrsina,stanje,sprat,godina,spratnost,uknjizenost,grejanje,sobnost,parking,garaza,useljivo,lift,infrastruktura,tipobjekata,namestenost,opremljenost,unutrasnje,tipobjekta,kupatila,plac,etaza,url,kombinovana-lokacija,rastojanje,trajanje
9,300000.0,stan,prodaja,"Čubura, Vračar, Beograd",Beograd,Vračar,Čubura,Cara Nikolaja II,110.0,novo,1,2022.0,6.0,,centralno grejanje,4.0,ne,1 garažno mesto,,1.0,terasa,,prazno ,telefon,kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/cubura-vracar-beograd/cetvorosoban-stan/63569d5aa1330182600245fa,"Cara Nikolaja II,Vračar",2.902,9.866666666666667
12,65000.0,stan,prodaja,"Bajlonijeva Pijaca, Stari Grad opština, Beograd",Beograd,Stari Grad opština,Bajlonijeva Pijaca,Venizelosova,38.0,potrebno renoviranje,1,,2.0,da,grejanje na struju,1.0,ne,,da,0,,,,,,,,,,https://www.4zida.rs/prodaja-stanova/bajlonijeva-pijaca-stari-grad-opstina-beograd/jednosoban-stan/646215e4b01bcefe2b081e01,"Venizelosova,Stari Grad opština",0.938,3.8333333333333335
14,164999.0,stan,prodaja,"Neimar, Vračar, Beograd",Beograd,Vračar,Neimar,Hadži Melentijeva,53.0,,6,,6.0,da,centralno grejanje,1.0,ne,,,1.0,terasa,,prazno ,"telefon, internet, interfon",kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/neimar-vracar-beograd/jednosoban-stan/63ca786c4ced8f73560c6c3b,"Hadži Melentijeva,Vračar",3.03,10.733333333333333
16,599000.0,stan,prodaja,"Donji Dorćol, Dorćol, Stari Grad opština, Beograd",Beograd,Stari Grad opština,Dorćol,Donji Dorćol,116.0,,8,,8.0,da,centralno grejanje,4.0,ne,,,0,terasa,,namešteno ,"TV, klima, veš mašina, frižider, šporet, ležaj",kuhinja ,,,,,https://www.4zida.rs/prodaja-stanova/donji-dorcol-dorcol-stari-grad-opstina-beograd/cetvorosoban-stan/636e14ac562e962f5a0a4044,"Donji Dorćol,Stari Grad opština",1.538,5.716666666666667
18,237000.0,stan,prodaja,"Južni Bulevar, Vračar, Beograd",Beograd,Vračar,Južni Bulevar,Vojvode Hrvoja,74.0,novo,3,,3.0,da,centralno grejanje,3.0,ne,,da,0,terasa,,prazno ,"telefon, klima",kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/juzni-bulevar-vracar-beograd/trosoban-stan/644926c876d0d329a502c7e5,"Vojvode Hrvoja,Vračar",3.949,13.3
21,260000.0,stan,prodaja,"Obilićev Venac, Beograd centar, Stari Grad opština, Beograd",Beograd,Stari Grad opština,Beograd centar,Maršala Birjuzova,74.0,,4,1960.0,5.0,da,centralno grejanje,3.0,ne,1 garažno mesto,da,1.0,"podrum, lođa",,polunamešteno ,"telefon, kablovska, klima","kupatilo, kuhinja, ostava ",,1.0,,,https://www.4zida.rs/prodaja-stanova/obilicev-venac-beograd-centar-stari-grad-opstina-beograd/trosoban-stan/64be5b44e52543723e0d9f27,"Maršala Birjuzova,Stari Grad opština",0.884,3.533333333333333
23,120000.0,stan,prodaja,"Kalenić, Vračar, Beograd",Beograd,Vračar,Kalenić,Ivana Đaje,34.0,renovirano,4,,4.0,da,grejanje na struju,1.0,ne,,,0,,,prazno ,telefon,kupatilo ,,1.0,,,https://www.4zida.rs/prodaja-stanova/kalenic-vracar-beograd/jednosoban-stan/64b90b3bda138cb0c20c180a,"Ivana Đaje,Vračar",2.498,8.533333333333333
26,520000.0,stan,prodaja,"Beograd centar, Stari Grad opština, Beograd",Beograd,Stari Grad opština,Beograd centar,Beograd centar,150.0,uobičajeno stanje,3,1937.0,4.0,da,centralno grejanje,4.0,ne,,,0,"podrum, terasa, lođa",,prazno ,"telefon, kablovska, internet, interfon",kupatila (2) ,,2.0,,,https://www.4zida.rs/prodaja-stanova/beograd-centar-stari-grad-opstina-beograd/cetvorosoban-stan/628cac7dd05bfa191c578773,"Beograd centar,Stari Grad opština",1.615,6.266666666666667
28,594944.0,stan,prodaja,"Crveni Krst Vračar, Vračar, Beograd",Beograd,Vračar,Crveni Krst Vračar,Tome Maksimovica,186.0,novo,6,2023.0,7.0,da,centralno grejanje,4.0,ne,1 garažno mesto,,1.0,terasa,,,telefon,,,,,,https://www.4zida.rs/prodaja-stanova/crveni-krst-vracar-vracar-beograd/cetvorosoban-stan/64be310f3e0779d0dc0642ac,"Tome Maksimovica,Vračar",4.102,15.033333333333333
32,1020000.0,stan,prodaja,"Dorćol, Stari Grad opština, Beograd",Beograd,Stari Grad opština,Dorćol,Gospodar Jovanova,170.0,,1,,6.0,,,3.0,da,1 garažno mesto,,1.0,,,prazno ,interfon,,,,,,https://www.4zida.rs/prodaja-stanova/dorcol-stari-grad-opstina-beograd/troiposoban-stan/64b91a07b2ac55aea30264e7,"Gospodar Jovanova,Stari Grad opština",0.882,4.133333333333334
34,848000.0,stan,prodaja,"Karađorđev park, Vračar, Beograd",Beograd,Vračar,Karađorđev park,Borislava Pekića,160.0,novo,1,2020.0,4.0,da,,5.0,da,,,0,"alarm, terasa, fitnes, recepcija",,namešteno ,centralna klima,"kupatila (3+), toalet ",,3.0,,,https://www.4zida.rs/prodaja-stanova/karadjordjev-park-vracar-beograd/petosoban-stan/64e4a6f4462cc1a6a2036643,"Borislava Pekića,Vračar",2.291,7.866666666666666
